rank,recipe_id,title,suspicion_reasons,suggested_decision,is_new_r401_r610,blocker_or_warning
371,r648_spiralki_s_vetchinoy_i_slivochnym_syrom,Спиральки с ветчиной и сливочным сыром,"ingredient in list not named in steps: 2 (flour_tortilla, green_onion); missing approximate/user-friendly measure: 2; e.g. сливочный сыр — 30 г",A. looks okay / no fix (low-priority warning review),no,warning
372,r659_baba_ganush_s_pitoy,Баба гануш с питой,"ingredient in list not named in steps: 2 (lemon_juice, pita); missing approximate/user-friendly measure: 2; e.g. тахини — 20 г",A. looks okay / no fix (low-priority warning review),no,warning
373,r004_bananovo_ovsyanye_pankeyki,Бананово-овсяные панкейки,"ingredient in list not named in steps: 3 (egg, oats, berries)",A. looks okay / no fix (low-priority warning review),no,warning
374,r008_yagodnyy_smuzi_boul,Ягодный смузи-боул,"ingredient in list not named in steps: 3 (maple_syrup, whey_protein, almond_butter)",A. looks okay / no fix (low-priority warning review),no,warning
375,r025_ovoschnaya_frittata_s_kozim_syrom_i_zelenyy_lukom,Овощная фриттата с козьим сыром и зеленый луком,"ingredient in list not named in steps: 3 (milk, goat_cheese, green_onion)",A. looks okay / no fix (low-priority warning review),no,warning
376,r104_kremovaya_pasta_s_kuritsey_bryusselskoy_kapustoy_i_gri,"Кремовая паста с курицей, брюссельской капустой и грибами","ingredient in list not named in steps: 3 (chicken_thigh, brussels_sprouts, green_onion)",A. looks okay / no fix (low-priority warning review),no,warning
377,r121_svinaya_vyrezka_s_travami_tykvoy_i_pasternakom,"Свиная вырезка с травами, тыквой и пастернаком","ingredient in list not named in steps: 3 (lemon_juice, oregano, pork_tenderloin)",A. looks okay / no fix (low-priority warning review),no,warning
378,r131_losos_v_tayskom_zelenom_karri_s_kartofelem_i_shpinatom,Лосось в тайском зеленом карри с картофелем и шпинатом,"ingredient in list not named in steps: 3 (thai_curry_paste, salmon, green_onion)",A. looks okay / no fix (low-priority warning review),no,warning
379,r140_zapechennaya_treska_s_limonom_belym_bulonm_i_hrustyasc,"Запеченная треска с лимоном, белым вином и хрустящей крошкой","ingredient in list not named in steps: 3 (lemon_juice, vegetable_broth, green_onion)",A. looks okay / no fix (low-priority warning review),no,warning
380,r156_farshirovannye_pertsy_s_risom_chernoy_fasolyu_i_syrom,"Фаршированные перцы с рисом, черной фасолью и сыром","ingredient in list not named in steps: 3 (tomato_paste, red_beans, corn_kernels)",A. looks okay / no fix (low-priority warning review),no,warning
381,r159_syrnye_burgery_iz_beloy_fasoli_s_pechenymi_tomatami,Сырные бургеры из белой фасоли с печеными томатами,"ingredient in list not named in steps: 3 (red_beans, wheat_flour, whole_grain_bread)",A. looks okay / no fix (low-priority warning review),no,warning
382,r167_tako_s_kinoa_chernoy_fasolyu_i_avokado_sousom,"Тако с киноа, черной фасолью и авокадо-соусом","ingredient in list not named in steps: 3 (tomato_paste, red_beans, chili_pepper)",A. looks okay / no fix (low-priority warning review),no,warning
383,r180_pasta_v_odnoy_kastryule_s_italyanskoy_kolbasoy_i_keylo,Паста в одной кастрюле с итальянской колбасой и кейлом,"ingredient in list not named in steps: 3 (pasta_generic, italian_sausage, italian_seasoning)",A. looks okay / no fix (low-priority warning review),no,warning
384,r194_kolbaski_s_molodym_kartofelem_artishokami_i_pesto_na_p,"Колбаски с молодым картофелем, артишоками и песто на противне","ingredient in list not named in steps: 3 (sausage, red_beans, whole_grain_bread)",A. looks okay / no fix (low-priority warning review),no,warning
385,r216_marokkanskaya_harira_s_govyadinoy_nutom_i_chechevitsey,"Марокканская харира с говядиной, нутом и чечевицей","ingredient in list not named in steps: 3 (ginger, tomato_paste, cornstarch)",A. looks okay / no fix (low-priority warning review),no,warning
386,r316_chernichnyy_smuzi_s_mindalnoy_pastoy_malinoy_i_imbirem,"Черничный смузи с миндальной пастой, малиной и имбирем","ingredient in list not named in steps: 3 (blueberries, cauliflower, ginger)",A. looks okay / no fix (low-priority warning review),no,warning
387,r331_rzhanye_krekery_s_tykvennymi_semechkami,Ржаные крекеры с тыквенными семечками,"ingredient in list not named in steps: 3 (rye_flour, wheat_flour)",A. looks okay / no fix (low-priority warning review),no,warning
388,r332_ovsyanye_lepeshki_krekery_s_makom_i_kunzhutom,Овсяные лепешки-крекеры с маком и кунжутом,"ingredient in list not named in steps: 3 (oat_groats, wheat_flour)",A. looks okay / no fix (low-priority warning review),no,warning
389,r342_zapechennye_grushi_s_klenovym_siropom_i_pryanostyami,Запеченные груши с кленовым сиропом и пряностями,"ingredient in list not named in steps: 3 (maple_syrup, ginger, lemon_juice)",A. looks okay / no fix (low-priority warning review),no,warning
390,r626_grechnevye_oladi_s_kabachkom,Гречневые оладьи с кабачком,"ingredient in list not named in steps: 3 (egg, wheat_flour, cornstarch)",A. looks okay / no fix (low-priority warning review),no,warning
391,r224_zapekanka_s_govyazhim_farshem_tsvetnoy_kapustoy_i_ched,"Запеканка с говяжьим фаршем, цветной капустой и чеддером","missing approximate/user-friendly measure: 3; e.g. чеснок — 1,5 г; ingredient in list not named in steps: 1 (italian_seasoning)",A. looks okay / no fix (low-priority warning review),no,warning
392,r228_enchiladas_so_shpinatom_artishokami_i_chernoy_fasolyu,"Энчиладас со шпинатом, артишоками и черной фасолью","missing approximate/user-friendly measure: 3; e.g. чеснок — 2,5 г; ingredient in list not named in steps: 1 (chili_pepper)",A. looks okay / no fix (low-priority warning review),no,warning
393,r366_tykvennye_semechki_s_chesnokom_parmezanom_i_travami,"Тыквенные семечки с чесноком, пармезаном и травами",missing approximate/user-friendly measure: 3; e.g. сырые тыквенные семечки в оболочке — 40 г; ingredient in list not named in steps: 1 (parsley),A. looks okay / no fix (low-priority warning review),no,warning
394,r041_beygl_klab_s_lososem_yaytsom_i_krem_syrom,"Бейгл-клаб с лососем, яйцом и крем-сыром","ingredient in list not named in steps: 2 (cream_cheese, lemon_juice); missing approximate/user-friendly measure: 1; e.g. крем-сыр — 25 г",A. looks okay / no fix (low-priority warning review),no,warning
395,r064_zapechennaya_bananovaya_ovsyanka_s_arahisovoy_pastoy,Запеченная банановая овсянка с арахисовой пастой,"ingredient in list not named in steps: 2 (wheat_flour, whey_protein); missing approximate/user-friendly measure: 1; e.g. гладкая арахисовая паста — 12 г (8 г внутрь + 4 г сверху)",A. looks okay / no fix (low-priority warning review),no,warning
396,r087_burrito_s_yaichnymi_belkami_shpinatom_i_kartofelem,"Буррито с яичными белками, шпинатом и картофелем","ingredient in list not named in steps: 2 (flour_tortilla, egg_white); missing approximate/user-friendly measure: 1; e.g. Моцарелла — 56,7 г",A. looks okay / no fix (low-priority warning review),no,warning
397,r105_zapekanka_s_kuritsey_risom_i_brokkoli,"Запеканка с курицей, рисом и брокколи","ingredient in list not named in steps: 2 (chicken_broth, gouda); missing approximate/user-friendly measure: 1; e.g. тертый пармезан — 6,25 г",A. looks okay / no fix (low-priority warning review),no,warning
398,r117_meze_frikadelki_iz_govyadiny_s_pitoy,Мезе-фрикадельки из говядины с питой,"ingredient in list not named in steps: 2 (oregano, wheat_flour); missing approximate/user-friendly measure: 1; e.g. хумус — 50 г",A. looks okay / no fix (low-priority warning review),no,warning
399,r175_veganskiy_gribnoy_stroganov_s_lapshoy,Веганский грибной строганов с лапшой,"ingredient in list not named in steps: 2 (pasta_generic, green_onion); missing approximate/user-friendly measure: 1; e.g. сырые кешью — 20 г",A. looks okay / no fix (low-priority warning review),no,warning
400,r202_lanch_bouly_s_bulgurom_kinoa_avokado_i_svekloy,"Ланч-боулы с булгуром, киноа, авокадо и свеклой","ingredient in list not named in steps: 2 (mint, orange); missing approximate/user-friendly measure: 1; e.g. Поджаренные кедровые орехи — 4,5 г",A. looks okay / no fix (low-priority warning review),no,warning
